ID,VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE,VL_SAIDA_TOTAL,QTD_TRANS_SAIDA,VL_SAIDA_MEDIO,TIPO_TRANS_PREF,VL_ENTRADA_TOTAL,QTD_TRANS_ENTRADA,VL_LIQUIDO_TRANS,QTD_TRANS_TOTAL,FATU_SALDO_RATIO,CLUSTER
CNPJ_02063,25980820,2469653,1999-04-18,Extração de petróleo e gás natural,2025-03-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.520028522225592,0
CNPJ_09414,230176,21225,2019-07-14,Construção de edifícios,2025-01-31,0.0,0.0,0.0,0,234.0,4.0,234.0,4.0,10.84457008244994,0
CNPJ_08341,17867842,1684391,2007-12-21,Produção de ferro-gusa,2025-04-30,15965.0,4.0,3991.25,PIX,7845.0,5.0,-8120.0,9.0,10.60789448530656,0
CNPJ_00264,20454396,-918200,2004-04-25,Extração de petróleo e gás natural,2025-04-30,640.0,6.0,106.67,PIX,94.0,2.0,-546.0,8.0,22.276623829231102,0
CNPJ_01253,1123863,975,2018-10-26,Construção de rodovias,2025-05-31,13801.0,16.0,862.56,PIX,830.0,1.0,-12971.0,17.0,1152.68,0
CNPJ_04645,1503571,54953,2018-03-25,Administração pública,2025-02-28,387776.0,12.0,32314.67,PIX,1415582.0,61.0,1027806.0,73.0,27.361035794224158,0
CNPJ_06336,3126965,-88414,2004-07-29,Construção de edifícios,2025-03-31,180.0,2.0,90.0,PIX,0.0,0.0,-180.0,2.0,35.36730608274708,0
CNPJ_08103,23973261,-1971914,2021-03-25,Engenharia civil,2025-03-31,2504.0,1.0,2504.0,PIX,8442.0,3.0,5938.0,4.0,12.15735625387314,0
CNPJ_07524,87942,8079,2022-12-24,Montagem industrial,2025-02-28,0.0,0.0,0.0,0,155582.0,23.0,155582.0,23.0,10.885258076494615,0
CNPJ_04713,260607,5901,2021-01-01,Administração pública,2025-03-31,56071.0,3.0,18690.33,PIX,37401.0,4.0,-18670.0,7.0,44.16319267920692,0
CNPJ_00486,16081672,-399725,2022-01-02,Transporte ferroviário de carga,2025-05-31,8517.0,9.0,946.33,PIX,12282.0,13.0,3765.0,22.0,40.23183938958034,0
CNPJ_03851,184149659,-18318852,1998-09-10,Comércio varejista de combustíveis,2025-01-31,1396.0,1.0,1396.0,PIX,3433.0,4.0,2037.0,5.0,10.052467207006202,3
CNPJ_00041,144122843,9071679,2006-09-05,Fabricação de automóveis,2025-05-31,161.0,3.0,53.67,PIX,0.0,0.0,-161.0,3.0,15.887118911504697,3
CNPJ_05268,149205582,3549659,2004-07-25,Administração pública,2025-02-28,123.0,1.0,123.0,PIX,45.0,1.0,-78.0,2.0,42.033779019336784,3
CNPJ_09147,108244,-9317,2023-12-03,Cultivo de milho,2025-05-31,0.0,0.0,0.0,0,147.0,1.0,147.0,1.0,11.617902758398628,0
CNPJ_00002,832495,-80046,2017-02-16,Geração de energia elétrica,2025-04-30,18641.0,9.0,2071.22,PIX,0.0,0.0,-18641.0,9.0,10.400207380756065,0
CNPJ_05927,90070,2296,2020-01-26,Restaurantes e similares,2025-05-31,0.0,0.0,0.0,0,1943.0,1.0,1943.0,1.0,39.22909407665505,0
CNPJ_03825,2519951,-210851,2018-10-10,Cultivo de trigo,2025-05-31,0.0,0.0,0.0,0,3680.0,3.0,3680.0,3.0,11.951335303128747,0
CNPJ_07241,1766291,-19685,2021-09-09,Televisão aberta,2025-02-28,12.0,1.0,12.0,TED,0.0,0.0,-12.0,1.0,89.72776225552451,0
CNPJ_04893,612486,9393,2017-07-28,Geração de energia elétrica,2025-01-31,34.0,1.0,34.0,SISTEMICO,0.0,0.0,-34.0,1.0,65.20664324496965,0
CNPJ_00726,92952,-8643,2019-08-10,Comércio varejista de combustíveis,2025-01-31,0.0,0.0,0.0,0,53.0,1.0,53.0,1.0,10.75459909753558,0
CNPJ_02950,105718633,7650650,2005-07-09,Montagem industrial,2025-03-31,963344.0,13.0,74103.38,PIX,0.0,0.0,-963344.0,13.0,13.81825505022449,3
CNPJ_04658,2857885,-177815,2015-11-30,Comércio varejista de combustíveis,2025-04-30,115.0,1.0,115.0,PIX,0.0,0.0,-115.0,1.0,16.072238000168714,0
CNPJ_07214,1845452,29155,2017-11-12,Televisão por assinatura,2025-04-30,332518.0,15.0,22167.87,PIX,362396.0,26.0,29878.0,41.0,63.29795918367347,0
CNPJ_00305,171599,-15014,2022-10-03,Saneamento básico,2025-03-31,0.0,0.0,0.0,0,37.0,1.0,37.0,1.0,11.429266018382842,0
CNPJ_05270,189290,12926,2022-10-10,Padaria e confeitaria,2025-02-28,303.0,1.0,303.0,SISTEMICO,7411.0,4.0,7108.0,5.0,14.644128113879004,0
CNPJ_02368,113880100,4275108,2014-11-13,Cultivo de soja,2025-03-31,5487.0,7.0,783.86,PIX,414.0,2.0,-5073.0,9.0,26.637946924381797,3
CNPJ_02685,8626384,564742,2009-12-28,Fabricação de caminhões e ônibus,2025-05-31,2329.0,3.0,776.33,PIX,0.0,0.0,-2329.0,3.0,15.274911375459943,0
CNPJ_06735,237676,14516,2019-11-25,Fabricação de móveis,2025-05-31,3897.0,4.0,974.25,PIX,4728.0,6.0,831.0,10.0,16.37338109672086,0
CNPJ_01733,11532762,-1067108,2009-10-13,Transporte ferroviário de carga,2025-02-28,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10.8074927748644,0
CNPJ_08620,1340602,55393,2018-06-13,Planos de saúde,2025-02-28,180.0,1.0,180.0,PIX,449.0,3.0,269.0,4.0,24.201650027981877,0
CNPJ_08493,205346,-19721,2021-09-30,Extração de petróleo e gás natural,2025-05-31,0.0,0.0,0.0,0,23.0,1.0,23.0,1.0,10.41255514426246,0
CNPJ_06804,221286,-13872,2022-05-19,Fabricação de automóveis,2025-03-31,0.0,0.0,0.0,0,680.0,2.0,680.0,2.0,15.951989619377162,0
CNPJ_04306,1032070,-38162,2021-07-13,Extração de petróleo e gás natural,2025-05-31,2886282.0,25.0,115451.28,PIX,4426652.0,71.0,1540370.0,96.0,27.044442115193124,0
CNPJ_07523,243123,16602,2022-08-21,Atividades de bancos múltiplos,2025-05-31,27.0,1.0,27.0,PIX,0.0,0.0,-27.0,1.0,14.644199494036863,0
CNPJ_02208,232961,5684,2022-12-21,Fabricação de produtos químicos,2025-04-30,0.0,0.0,0.0,0,9218.0,4.0,9218.0,4.0,40.98539760731879,0
CNPJ_02531,2554704,196287,2018-06-10,Atividades de bancos múltiplos,2025-01-31,6228144.0,93.0,66969.29,PIX,5182053.0,88.0,-1046091.0,181.0,13.01514618899876,0
CNPJ_07747,445253,23765,2020-02-03,Educação superior,2025-02-28,67865.0,2.0,33932.5,PIX,7358.0,1.0,-60507.0,3.0,18.735661687355357,0
CNPJ_08271,1410851,-33937,2017-11-08,Fabricação de móveis,2025-01-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,41.57264932080031,0
CNPJ_05080,154946552,-10810695,2007-08-16,Televisão por assinatura,2025-02-28,5360.0,1.0,5360.0,PIX,0.0,0.0,-5360.0,1.0,14.33270959915158,3
CNPJ_03625,9921425,-584491,2001-07-02,Cultivo de trigo,2025-02-28,111.0,1.0,111.0,BOLETO,82.0,1.0,-29.0,2.0,16.974470094492474,0
CNPJ_00639,14056520,595999,2004-04-18,Distribuição de energia elétrica,2025-04-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,23.58480467249106,0
CNPJ_00441,284770,-10021,2023-07-11,Cultivo de milho,2025-04-30,6900.0,3.0,2300.0,PIX,0.0,0.0,-6900.0,3.0,28.41732362039717,0
CNPJ_06057,1274109,-39747,2016-07-13,Planos de saúde,2025-04-30,913.0,1.0,913.0,PIX,1602.0,2.0,689.0,3.0,32.05547588497245,0
CNPJ_02652,928437,-127044,2018-04-21,Planos de saúde,2025-05-31,0.0,0.0,0.0,0,50.0,1.0,50.0,1.0,7.307995655048645,0
CNPJ_06804,221286,-16395,2022-05-19,Fabricação de automóveis,2025-04-30,0.0,0.0,0.0,0,680.0,2.0,680.0,2.0,13.497163769441904,0
CNPJ_08225,2331947,-12544,2015-07-26,Extração de petróleo e gás natural,2025-05-31,0.0,0.0,0.0,0,11437.0,6.0,11437.0,6.0,185.90138711734693,0
CNPJ_09227,892854,-49572,2021-12-03,Produção cinematográfica,2025-03-31,1984467.0,18.0,110248.17,PIX,7492734.0,118.0,5508267.0,136.0,18.01125635439361,1
CNPJ_05634,124412,-11015,2020-09-12,Construção de rodovias,2025-01-31,145213.0,8.0,18151.62,PIX,27739.0,4.0,-117474.0,12.0,11.294779845665005,0
CNPJ_05988,135971,5318,2021-12-10,Transporte rodoviário de carga,2025-01-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,25.568070703271907,0
CNPJ_08064,178374848,-6698870,2001-09-09,Construção de barragens,2025-05-31,0.0,0.0,0.0,0,1088.0,2.0,1088.0,2.0,26.62760256580588,3
CNPJ_01813,2791927,-267402,2015-09-29,Construção de rodovias,2025-01-31,7210.0,6.0,1201.67,PIX,2122.0,3.0,-5088.0,9.0,10.440935370715252,0
CNPJ_07579,5067665,711911,2019-05-29,Transporte ferroviário de carga,2025-03-31,121.0,1.0,121.0,PIX,0.0,0.0,-121.0,1.0,7.118396822074669,0
CNPJ_06824,2911545,-163135,2022-12-01,Restaurantes e similares,2025-02-28,0.0,0.0,0.0,0,837.0,3.0,837.0,3.0,17.847457627118644,0
CNPJ_03929,237026,32338,2023-08-01,Geração de energia elétrica,2025-01-31,113.0,1.0,113.0,PIX,0.0,0.0,-113.0,1.0,7.329643144288453,0
CNPJ_07287,688164,-26213,2017-06-21,Televisão aberta,2025-04-30,1066.0,1.0,1066.0,PIX,0.0,0.0,-1066.0,1.0,26.252775340479914,0
CNPJ_05046,1804891,-114942,2017-05-21,Seguros de vida,2025-03-31,0.0,0.0,0.0,0,88333.0,10.0,88333.0,10.0,15.702623932070088,0
CNPJ_05728,118981,-9423,2022-09-30,Fabricação de produtos químicos,2025-02-28,48.0,1.0,48.0,BOLETO,0.0,0.0,-48.0,1.0,12.626658176801444,0
CNPJ_09601,2289336,136748,2018-05-09,Fabricação de papel,2025-03-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.74127592359669,0
CNPJ_00431,54882,2444,2022-10-13,Comércio atacadista de calçados,2025-02-28,8213.0,6.0,1368.83,PIX,0.0,0.0,-8213.0,6.0,22.45581014729951,0
CNPJ_05769,299333,5886,2021-04-05,Saneamento básico,2025-03-31,26.0,1.0,26.0,PIX,0.0,0.0,-26.0,1.0,50.85507985049269,0
CNPJ_09104,2103227,47596,2022-11-04,Cultivo de milho,2025-03-31,10098.0,2.0,5049.0,PIX,6889.0,2.0,-3209.0,4.0,44.18915455080259,0
CNPJ_06538,65302,1942,2021-06-23,Distribuição de energia elétrica,2025-04-30,0.0,0.0,0.0,0,148.0,4.0,148.0,4.0,33.62615859938208,0
CNPJ_09329,473684,11791,2015-04-30,Correios e entregas expressas,2025-04-30,120.0,1.0,120.0,TED,150.0,1.0,30.0,2.0,40.173352557035024,0
CNPJ_05540,1986211,172942,2016-10-29,Produção de ferro-gusa,2025-04-30,27.0,1.0,27.0,BOLETO,0.0,0.0,-27.0,1.0,11.484838847706168,0
CNPJ_08076,1004083,79974,2021-02-18,Cultivo de trigo,2025-03-31,8801.0,4.0,2200.25,PIX,0.0,0.0,-8801.0,4.0,12.55511791332183,0
CNPJ_07841,27573655,-217243,2008-01-27,Geração de energia elétrica,2025-02-28,0.0,0.0,0.0,0,5607.0,5.0,5607.0,5.0,126.92540150890936,0
CNPJ_07803,1211885,-78265,2017-05-05,Comércio atacadista de alimentos,2025-03-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.484379991056027,0
CNPJ_07683,16229694,146074,2016-02-25,Fabricação de automóveis,2025-01-31,290.0,1.0,290.0,TED,0.0,0.0,-290.0,1.0,111.10597368457084,0
CNPJ_04280,697227,-57073,2019-04-07,Saneamento básico,2025-03-31,23800.0,3.0,7933.33,PIX,23850.0,3.0,50.0,6.0,12.21640705762795,0
CNPJ_03071,150734044,-12925805,1999-05-12,Extração de minério de ferro,2025-04-30,0.0,0.0,0.0,0,365.0,6.0,365.0,6.0,11.661482128192402,3
CNPJ_05558,1794908,175931,2017-08-08,Transporte ferroviário de carga,2025-04-30,0.0,0.0,0.0,0,32.0,1.0,32.0,1.0,10.2023406903843,0
CNPJ_07190,372674,-7260,2015-03-05,Transporte rodoviário de carga,2025-04-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,51.33250688705234,0
CNPJ_07150,146035554,-7510975,1996-01-27,Cultivo de trigo,2025-05-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.44295567486245,3
CNPJ_06916,20101609,1352423,2013-01-13,Telecomunicações sem fio,2025-05-31,770.0,1.0,770.0,TED,4371.0,4.0,3601.0,5.0,14.863403683610825,0
CNPJ_09802,1297368,103165,2022-08-31,Produção de ferro-gusa,2025-01-31,0.0,0.0,0.0,0,32.0,1.0,32.0,1.0,12.575660349924878,0
CNPJ_08801,2644204,-116689,2017-08-16,Televisão por assinatura,2025-04-30,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,22.66026789157504,0
CNPJ_04670,266943,-23292,2022-07-17,Produção cinematográfica,2025-03-31,27866.0,4.0,6966.5,PIX,17487.0,1.0,-10379.0,5.0,11.460716125708398,0
CNPJ_04234,72534,7164,2019-09-12,Planos de saúde,2025-05-31,0.0,0.0,0.0,0,25.0,1.0,25.0,1.0,10.124790619765497,0
CNPJ_01920,1423065,37430,2019-02-15,Cultivo de soja,2025-04-30,22096.0,12.0,1841.33,PIX,0.0,0.0,-22096.0,12.0,38.01936948971413,0
CNPJ_07135,287955,-21620,2020-05-30,Comércio atacadista de calçados,2025-01-31,0.0,0.0,0.0,0,66.0,1.0,66.0,1.0,13.31891766882516,0
CNPJ_03705,292179,-16290,2019-12-06,Fabricação de caminhões e ônibus,2025-04-30,21.0,1.0,21.0,TED,0.0,0.0,-21.0,1.0,17.93609576427256,0
CNPJ_09661,2697096,296516,2022-11-12,Serviços de tecnologia da informação,2025-03-31,2519223.0,26.0,96893.19,PIX,0.0,0.0,-2519223.0,26.0,9.095954349849588,0
CNPJ_07894,217199,-13477,2021-06-23,Cultivo de arroz,2025-02-28,0.0,0.0,0.0,0,257.0,3.0,257.0,3.0,16.116272167396303,0
CNPJ_02019,1778074,29643,2014-05-22,Armazenamento geral,2025-03-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,59.98293020274601,0
CNPJ_03539,14455339,228986,2001-11-08,Distribuição de energia elétrica,2025-02-28,0.0,0.0,0.0,0,307.0,3.0,307.0,3.0,63.12761042159783,0
CNPJ_03119,1148033,88385,2016-02-18,Transporte ferroviário de carga,2025-05-31,26312.0,3.0,8770.67,PIX,42277.0,7.0,15965.0,10.0,12.989002658822198,0
CNPJ_06421,51525,2749,2023-12-04,Geração de energia elétrica,2025-04-30,844037.0,18.0,46890.94,PIX,1331759.0,50.0,487722.0,68.0,18.74317933794107,0
CNPJ_09406,2989369,165878,2017-09-03,Cultivo de milho,2025-01-31,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,18.021491698718336,0
CNPJ_03414,722269,67035,2020-09-07,Saneamento básico,2025-02-28,674645.0,12.0,56220.42,PIX,45442.0,1.0,-629203.0,13.0,10.774505855150297,0
CNPJ_06721,71510,-6595,2023-09-07,Comércio atacadista de bebidas,2025-01-31,0.0,0.0,0.0,0,38.0,1.0,38.0,1.0,10.84306292645944,0
CNPJ_05602,182818707,17061792,1995-11-24,Defesa nacional,2025-02-28,93167.0,5.0,18633.4,PIX,523676.0,31.0,430509.0,36.0,10.715094112037,3
CNPJ_04744,197875,2329,2021-02-13,Fabricação de caminhões e ônibus,2025-05-31,53885.0,3.0,17961.67,PIX,3181.0,3.0,-50704.0,6.0,84.96135680549592,0
CNPJ_01139,1300457,-89106,2016-05-29,Defesa nacional,2025-04-30,87.0,1.0,87.0,PIX,129.0,1.0,42.0,2.0,14.594494197921575,0
CNPJ_02730,2628385,282258,2021-03-08,Produção de ferro-gusa,2025-01-31,2074.0,6.0,345.67,PIX,969.0,3.0,-1105.0,9.0,9.311994699884504,0
CNPJ_08243,159811,11510,2023-05-29,Fabricação de móveis,2025-04-30,65.0,1.0,65.0,PIX,51.0,1.0,-14.0,2.0,13.884535186794093,0
CNPJ_09626,69731,-1169,2022-05-14,Padaria e confeitaria,2025-03-31,0.0,0.0,0.0,0,19.0,1.0,19.0,1.0,59.65012831479898,0
CNPJ_07895,172395,-12101,2022-05-25,Produção cinematográfica,2025-05-31,47817.0,4.0,11954.25,PIX,12708.0,3.0,-35109.0,7.0,14.24634327741509,0
CNPJ_02091,1150286,94651,2014-04-08,Comércio atacadista de bebidas,2025-05-31,9141.0,9.0,1015.67,BOLETO,66.0,1.0,-9075.0,10.0,12.15291967332622,0
CNPJ_06400,293170,10561,2021-08-10,Comércio atacadista de medicamentos,2025-04-30,30.0,1.0,30.0,PIX,0.0,0.0,-30.0,1.0,27.759681848309818,0
CNPJ_06245,23789936,-1405395,2010-04-19,Atividades de bancos múltiplos,2025-01-31,0.0,0.0,0.0,0,43.0,1.0,43.0,1.0,16.92757979073499,0
CNPJ_05546,138345,6193,2020-10-02,Televisão aberta,2025-01-31,0.0,0.0,0.0,0,145.0,1.0,145.0,1.0,22.338931051186822,0
CNPJ_04065,703143,-63560,2022-05-06,Seguros de vida,2025-01-31,78.0,1.0,78.0,PIX,0.0,0.0,-78.0,1.0,11.062665198237886,0
CNPJ_02852,662580,-66020,2016-06-23,Cultivo de milho,2025-02-28,9.0,1.0,9.0,PIX,0.0,0.0,-9.0,1.0,10.036049681914571,0
CNPJ_01803,2718452,-192897,2021-03-20,Seguros de vida,2025-03-31,142323.0,27.0,5271.22,PIX,23524.0,3.0,-118799.0,30.0,14.092764532367015,0
CNPJ_01164,2080883,-105446,2015-06-12,Restaurantes e similares,2025-05-31,13833.0,9.0,1537.0,PIX,3270.0,4.0,-10563.0,13.0,19.73411035032149,0
CNPJ_06233,27836506,-2033823,2005-08-20,Produção de ferro-gusa,2025-01-31,1244718.0,13.0,95747.54,PIX,6405028.0,132.0,5160310.0,145.0,13.68678887002458,1
CNPJ_03863,437271,-57036,2016-08-24,Comércio atacadista de alimentos,2025-01-31,622.0,1.0,622.0,SISTEMICO,0.0,0.0,-622.0,1.0,7.666579002735115,0
CNPJ_05095,93569,-3096,2021-06-11,Consultoria empresarial,2025-04-30,78.0,1.0,78.0,TED,0.0,0.0,-78.0,1.0,30.22254521963824,0
CNPJ_00196,2280534,76512,2017-12-15,Fabricação de produtos químicos,2025-05-31,1376.0,3.0,458.67,PIX,830.0,2.0,-546.0,5.0,29.806226474278542,0
CNPJ_09251,948794,21328,2019-10-25,Obras de infraestrutura elétrica,2025-04-30,960.0,2.0,480.0,BOLETO,0.0,0.0,-960.0,2.0,44.48584021005252,0
CNPJ_06218,27694742,-1006338,2004-06-14,Fabricação de automóveis,2025-01-31,95.0,1.0,95.0,PIX,0.0,0.0,-95.0,1.0,27.52031822310198,0
CNPJ_06776,246403,-5235,2023-02-22,Cultivo de milho,2025-04-30,0.0,0.0,0.0,0,6189.0,2.0,6189.0,2.0,47.068385864374406,0
CNPJ_02977,5683626,108380,2002-05-21,Saneamento básico,2025-05-31,134.0,1.0,134.0,PIX,0.0,0.0,-134.0,1.0,52.44164975087654,0
CNPJ_08468,2880237,211975,2018-09-06,Comércio atacadista de medicamentos,2025-05-31,64320.0,6.0,10720.0,PIX,66060.0,3.0,1740.0,9.0,13.587625899280576,0
CNPJ_04832,97686,2812,2019-11-04,Planos de saúde,2025-02-28,32.0,1.0,32.0,PIX,58.0,1.0,26.0,2.0,34.73897581792318,0
CNPJ_00093,434581,23960,2022-09-06,Cultivo de milho,2025-04-30,541.0,9.0,60.11,PIX,0.0,0.0,-541.0,9.0,18.137771285475797,0
CNPJ_08894,59208942,5390877,2013-03-08,Armazenamento geral,2025-01-31,54605.0,1.0,54605.0,BOLETO,380214.0,19.0,325609.0,20.0,10.983174351779867,0
CNPJ_06021,188309,-9594,2023-04-13,Extração de petróleo e gás natural,2025-01-31,68220.0,7.0,9745.71,PIX,80793.0,4.0,12573.0,11.0,19.62778820095893,0
CNPJ_06089,12664104,-347182,2014-08-02,Transporte ferroviário de carga,2025-05-31,0.0,0.0,0.0,0,3999.0,4.0,3999.0,4.0,36.47684499772453,0
